0,CombatZoneResize,241,226,406,391,,,,,,
0,CombatZoneSpeed,240,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,SineBones,65,50,300,50,,,,,,250
0,PlatformRepeat,320,280,40,0,150,20,100,,,
0,PlatformRepeat,320,340,40,0,150,20,100,,,
0,SET,Loop,5,,,,,,,,
0,:RndAttack,,,,,,,,,,
0,JMPZ,End,$Loop,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,
0,RND,Jump,3,,,,,,,,
0,ADD,Jump,$Jump,1,,,,,,,
0,JMPREL,$Jump,,,,,,,,,
0,JMPABS,Attack0,,,,,,,,,
0,JMPABS,Attack1,,,,,,,,,
0,JMPABS,Attack2,,,,,,,,,
0,:Attack0,,,,,,,,,,
0,SANSSLAM,0,,,,,,,,,
0,:Attack1,,,,,,,,,,
0,SANSSLAM,2,,,,,,,,,
2,JMPABS,RndAttack,,,,,,,,,
0,:Attack2,,,,,,,,,,
0,SANSSLAM,1,,,,,,,,,
2,JMPABS,RndAttack,,,,,,,,,
1,JMPABS,RndAttack,,,,,,,,,
0,:End,,,,,,,,,,
1,EndAttack,,,,,,,,,,
