0,CombatZoneResizeinstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SET,Loop,3,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,5,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,:Attack0,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,376,,,,,,
0.5,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-6,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,325,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,325,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0,1
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,40,$gin,2.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
0,JMPL,24,$gt,20,,,,,
2,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SET,Loop,200,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SET,Loop2,7,,,,,,
0,RND,Loop2,$Loop2,7,,,,,
0,SET,Loop3,200,,,,,,
0,RND,Loop3,$Loop3,200,,,,,
0,SET,Loop4,300,,,,,,
0,RND,Loop4,$Loop4,300,,,,,
0,SET,Loop5,5,,,,,,
0,RND,Loop5,$Loop5,5,,,,,
0,SET,Loop6,480,,,,,,
0,RND,Loop6,$Loop6,480,,,,,
0,SET,Loop7,640,,,,,,
0,RND,Loop7,$Loop7,640,,,,,
0,BoneV,$Loop7,$Loop6,$Loop3,$Loop5,$Loop4,$Loop2,,
0.1,JMPNZ,47,$Loop,,,,,,
2.2,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SET,Loop,200,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SET,Loop2,7,,,,,,
0,RND,Loop2,$Loop2,7,,,,,
0,SET,Loop3,200,,,,,,
0,RND,Loop3,$Loop3,200,,,,,
0,SET,Loop4,300,,,,,,
0,RND,Loop4,$Loop4,300,,,,,
0,SET,Loop5,5,,,,,,
0,RND,Loop5,$Loop5,5,,,,,
0,SET,Loop6,480,,,,,,
0,RND,Loop6,$Loop6,480,,,,,
0,SET,Loop7,640,,,,,,
0,RND,Loop7,$Loop7,640,,,,,
0,BoneV,$Loop7,$Loop6,$Loop3,$Loop5,$Loop4,$Loop2,,
0.1,JMPNZ,68,$Loop,,,,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,EndAttack,,,,,,,,
