0,CombatZoneResize,260,200,360,391,,,,
0,CombatZoneSpeed,240,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0.6,BoneHRepeat,260,200,50,1,150,20,100,
0,BoneHRepeat,310,391,50,3,150,20,100,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
1.5,BoneV,260,200,250,0,400,1,,
0,BoneV,350,141,250,2,400,1,,
0.2,CombatZoneResize,150,251,479,391,,,,
0,CombatZoneSpeed,1500,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SET,Loop,10,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SET,Loop2,10,,,,,,
0,RND,Loop2,480,,,,,,
0,SET,Loop3,10,,,,,,
0,RND,Loop3,640,,,,,,
0,SET,Loop4,10,,,,,,
0,RND,Loop4,360,,,,,,
0,GasterBlaster,1,$Loop3,$Loop2,$Loop3,$Loop2,$Loop4,0.46666,1
0.01,JMPNZ,29,$Loop,,,,,,
2,ENDATTACK,,,,,,,,
