0,CombatZoneResize,400,251,479,380,,,,
0,CombatZoneSpeed,50,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,100,50,1000,50,75,,,
5,CombatZoneResize,200,100,300,230,,,,
0,CombatZoneSpeed,1500,,,,,,,
0,HeartTeleport,235,135,,,,,,
0,SANSBODY,HANDLEFT,,,,,,,
0.2,SANSSLAM,2,,,,,,,
0.4,BoneStab,2,20,0.2,0.5,,,,
0,GasterBlaster,1,0,0,200,100,0,0,0.4
0,GasterBlaster,1,0,0,300,230,90,0,0.4
1,CombatZoneResize,200,300,300,430,,,,
0,CombatZoneSpeed,1500,,,,,,,
0,HeartTeleport,235,400,,,,,,
0,SANSBODY,HANDDOWN,,,,,,,
0.1,SANSSLAM,1,,,,,,,
0,GasterBlaster,1,0,0,235,380,0,0,0.4
0,GasterBlaster,1,0,0,235,410,0,0,0.4
0,GasterBlaster,1,0,0,235,430,0,0,0.4
0.3,SANSSLAM,3,,,,,,,
0,GasterBlaster,2,0,0,235,300,225,0.4,0.4
0,GasterBlaster,2,0,0,300,300,315,0.4,0.4
1.5,ENDATTACK,,,,,,,,
